Date,Time,Weight(kg),BMI,Body Fat(%),Skeletal Muscle(%),Fat-Free Mass(kg),Subcutaneous Fat(%),Visceral Fat,Body Water(%),Muscle Mass(kg),Bone Mass(kg),Protein(%),BMR(kcal),Metabolic Age,Optimal Weight(kg),Target to optimal weight(kg),Target to optimal fat mass(kg),Target to optimal muscle mass(kg),Body Type,Remarks
2025.11.04,08:55:24,81.65,25.2,15.8,54.4,68.75,13.5,8.0,60.8,65.32,3.43,19.2,1851,44,--,--,--,--,--,--
2025.11.03,09:35:21,81.95,25.3,15.9,54.3,68.92,13.6,8.0,60.7,65.48,3.44,19.2,1855,44,--,--,--,--,--,--
2025.11.02,09:29:08,82.60,25.5,16.0,54.2,69.38,13.6,8.0,60.6,65.91,3.47,19.1,1868,44,--,--,--,--,--,--
2025.11.01,09:31:19,82.10,25.3,15.9,54.3,69.05,13.6,8.0,60.7,65.60,3.45,19.2,1859,44,--,--,--,--,--,--
2025.10.31,09:13:20,82.30,25.4,16.0,54.2,69.13,13.6,8.0,60.6,65.68,3.45,19.1,1859,44,--,--,--,--,--,--
2025.10.30,08:34:54,81.90,25.3,15.9,54.3,68.88,13.6,8.0,60.7,65.44,3.44,19.2,1855,44,--,--,--,--,--,--
2025.10.29,09:23:32,81.85,25.3,15.9,54.3,68.84,13.6,8.0,60.7,65.40,3.44,19.2,1855,44,--,--,--,--,--,--
2025.10.28,08:48:50,81.45,25.1,15.8,54.4,68.58,13.5,8.0,60.8,65.16,3.42,19.2,1846,44,--,--,--,--,--,--
2025.10.27,08:59:34,81.90,25.3,15.9,54.3,68.88,13.6,8.0,60.7,65.44,3.44,19.2,1855,44,--,--,--,--,--,--
2025.10.26,09:48:04,81.85,25.3,15.9,54.3,68.84,13.6,8.0,60.7,65.40,3.44,19.2,1855,44,--,--,--,--,--,--
2025.10.25,09:46:25,81.80,25.2,15.9,54.3,68.79,13.6,8.0,60.7,65.36,3.43,19.2,1851,44,--,--,--,--,--,--
2025.10.24,09:55:50,81.40,25.1,15.8,54.4,68.54,13.5,8.0,60.8,65.12,3.42,19.2,1846,44,--,--,--,--,--,--
2025.10.22,09:41:17,81.05,25.0,15.7,54.4,68.33,13.4,8.0,60.9,64.92,3.41,19.2,1842,44,--,--,--,--,--,--
2025.10.21,10:28:47,81.05,25.0,15.7,54.4,68.33,13.4,8.0,60.9,64.92,3.41,19.2,1842,44,--,--,--,--,--,--
2025.10.20,09:40:01,82.20,25.4,16.0,54.2,69.05,13.6,8.0,60.6,65.60,3.45,19.1,1859,44,--,--,--,--,--,--
2025.10.19,09:51:58,81.70,25.2,15.8,54.4,68.79,13.5,8.0,60.8,65.36,3.43,19.2,1851,44,--,--,--,--,--,--
2025.10.18,09:59:55,82.00,25.3,15.9,54.3,68.96,13.6,8.0,60.7,65.52,3.44,19.2,1855,44,--,--,--,--,--,--
2025.10.17,10:17:53,80.95,25.0,15.7,54.4,68.24,13.4,8.0,60.9,64.84,3.40,19.2,1838,44,--,--,--,--,--,--
2025.10.16,10:38:06,81.55,25.2,15.8,54.4,68.67,13.5,8.0,60.8,65.24,3.43,19.2,1851,44,--,--,--,--,--,--
2025.10.15,09:18:51,81.55,25.2,15.8,54.4,68.67,13.5,8.0,60.8,65.24,3.43,19.2,1851,44,--,--,--,--,--,--
2025.10.15,09:18:34,81.55,25.2,15.8,54.4,68.67,13.5,8.0,60.8,65.24,3.43,19.2,1851,44,--,--,--,--,--,--
2025.10.14,09:34:21,81.25,25.1,15.7,54.4,68.49,13.4,8.0,60.9,65.08,3.41,19.2,1842,44,--,--,--,--,--,--
2025.10.13,09:32:12,80.90,25.0,15.7,54.4,68.20,13.4,8.0,60.9,64.80,3.40,19.2,1838,44,--,--,--,--,--,--
2025.10.12,07:21:52,81.55,25.2,15.8,54.4,68.67,13.5,8.0,60.8,65.24,3.43,19.2,1851,44,--,--,--,--,--,--
2025.10.11,09:59:11,80.90,25.0,15.7,54.4,68.20,13.4,8.0,60.9,64.80,3.40,19.2,1838,44,--,--,--,--,--,--
2025.10.08,10:04:34,80.65,24.9,15.6,54.5,68.07,13.4,8.0,60.9,64.68,3.39,19.2,1833,44,--,--,--,--,--,--
2025.10.07,08:42:34,80.55,24.9,15.6,54.5,67.98,13.4,8.0,60.9,64.60,3.38,19.2,1829,44,--,--,--,--,--,--
2025.10.06,09:52:03,81.30,25.1,15.8,54.4,68.45,13.5,8.0,60.8,65.04,3.41,19.2,1842,44,--,--,--,--,--,--
2025.10.05,09:55:24,81.45,25.1,15.8,54.4,68.58,13.5,8.0,60.8,65.16,3.42,19.2,1846,44,--,--,--,--,--,--
2025.10.04,09:41:54,80.20,24.8,15.5,54.6,67.77,13.3,8.0,61.0,64.40,3.37,19.3,1825,44,--,--,--,--,--,--
2025.10.03,09:22:34,81.10,25.0,15.7,54.4,68.37,13.4,8.0,60.9,64.96,3.41,19.2,1842,44,--,--,--,--,--,--
2025.10.02,10:16:17,79.80,24.6,15.4,54.6,67.51,13.2,7.0,61.1,64.16,3.35,19.3,1816,44,--,--,--,--,--,--
2025.10.01,10:04:35,80.40,24.8,15.6,54.5,67.86,13.4,8.0,60.9,64.48,3.38,19.2,1829,44,--,--,--,--,--,--
2025.09.30,10:17:25,80.40,24.8,15.6,54.5,67.86,13.4,8.0,60.9,64.48,3.38,19.2,1829,44,--,--,--,--,--,--
2025.09.29,09:24:43,80.60,24.9,15.6,54.5,68.03,13.4,8.0,60.9,64.64,3.39,19.2,1833,44,--,--,--,--,--,--
2025.09.28,10:11:37,81.10,25.0,15.7,54.4,68.37,13.4,8.0,60.9,64.96,3.41,19.2,1842,44,--,--,--,--,--,--
2025.09.27,09:40:04,81.00,25.0,15.7,54.4,68.28,13.4,8.0,60.9,64.88,3.40,19.2,1838,44,--,--,--,--,--,--
2025.09.26,08:52:30,80.15,24.7,15.5,54.6,67.73,13.3,8.0,61.0,64.36,3.37,19.3,1825,44,--,--,--,--,--,--
2025.09.25,08:56:39,80.15,24.7,15.5,54.6,67.73,13.3,8.0,61.0,64.36,3.37,19.3,1825,44,--,--,--,--,--,--
2025.09.23,08:53:13,81.30,25.1,15.8,54.4,68.45,13.5,8.0,60.8,65.04,3.41,19.2,1842,44,--,--,--,--,--,--
2025.09.22,09:34:45,80.75,24.9,15.6,54.5,68.15,13.4,8.0,60.9,64.76,3.39,19.2,1833,44,--,--,--,--,--,--
2025.09.21,07:11:39,80.75,24.9,15.6,54.5,68.15,13.4,8.0,60.9,64.76,3.39,19.2,1833,44,--,--,--,--,--,--
2025.09.20,10:34:58,80.75,24.9,15.6,54.5,68.15,13.4,8.0,60.9,64.76,3.39,19.2,1833,44,--,--,--,--,--,--
